fs/px   ss/px (1/d)/nm^-1    Intensity
2111.91  620.29       4.04       82.48
2249.23  636.26       4.05       65.91
2241.82  754.15       3.74       99.43
2226.25  787.50       3.65       65.06
1600.35  858.21       3.57      171.23
2098.81  877.50       3.36      138.99
1652.28  878.50       3.48       75.09
2321.31  899.79       3.42      174.08
1959.79  901.53       3.28      130.22
1327.00  910.00       3.76       61.90
2213.19  931.48       3.26      420.88
1633.51  943.98       3.32      274.05
2606.50  950.50       3.61       54.22
2194.35  979.63       3.12      295.59
2057.49  979.99       3.06      114.94
1511.81  991.84       3.33       67.14
1226.00 1009.52       3.70      106.83
1917.10 1021.52       2.94      240.31
2677.99 1022.03       3.56      185.91
1809.04 1029.79       2.96      302.79
2174.16 1033.83       2.95       58.69
2666.98 1069.01       3.44       76.56
1742.51 1072.99       2.88      139.29
1555.37 1085.38       3.04      317.15
1897.48 1093.80       2.74      142.13
2152.50 1095.99       2.77       81.07
2736.00 1104.99       3.48       68.68
2013.54 1112.39       2.68      420.48
2276.59 1119.36       2.79      308.73
1149.00 1134.51       3.59       65.67
2458.73 1152.69       2.92      447.33
2359.20 1157.48       2.78      160.58
1730.07 1158.64       2.66      182.44
2547.10 1164.31       3.03       92.57
1501.11 1170.94       2.90      684.33
1551.30 1176.30       2.81       76.90
2253.54 1183.49       2.59      194.35
1761.86 1192.75       2.53      149.70
1991.71 1194.89       2.43       98.38
2705.50 1211.49       3.21       58.19
1616.00 1215.50       2.63      130.40
2525.91 1223.17       2.86      921.93
2334.86 1223.79       2.57      226.13
1816.56 1230.08       2.39      588.09
1671.21 1232.22       2.51      448.94
2614.17 1239.83       2.97       55.75
2104.48 1249.69       2.30     1257.13
1723.63 1254.64       2.39      147.83
2228.04 1256.87       2.37      338.44
2191.18 1266.15       2.31       42.28
1865.47 1271.73       2.24       72.79
1413.51 1277.99       2.79      472.27
1970.50 1284.51       2.17       60.86
2408.35 1284.34       2.52      125.54
2499.82 1288.74       2.66     1085.00
1971.88 1289.74       2.15     1069.33
2305.50 1300.01       2.33       63.07
1756.26 1306.18       2.22      551.09
2279.21 1307.38       2.28      152.08
1462.76 1318.77       2.61       67.42
1569.51 1318.76       2.43      127.07
1623.42 1327.31       2.32      293.85
1247.00 1338.00       3.01       68.90
2655.30 1338.90       2.85       93.06
1810.12 1340.86       2.07      382.15
1914.02 1345.91       1.99      538.20
2078.52 1347.03       2.00       70.45
1211.67 1359.36       3.04      267.07
2373.73 1363.45       2.26      655.66
2159.04 1365.60       1.99     1130.24
2462.56 1371.48       2.40      234.74
2356.72 1376.00       2.21      267.75
1180.00 1383.01       3.08       73.48
1649.33 1390.69       2.12      142.29
2026.02 1391.97       1.84      325.94
1708.37 1409.31       1.98     1357.90
2238.99 1410.47       1.95     1207.03
2619.82 1411.48       2.63      220.64
1546.29 1439.21       2.18       78.43
1497.95 1442.95       2.26      594.57
1451.91 1452.23       2.34      144.60
1407.98 1464.83       2.41      608.69
2689.00 1463.98       2.69      208.50
2414.14 1465.27       2.09      169.29
1367.73 1481.54       2.47     1673.43
2306.40 1481.58       1.85      495.84
1331.00 1500.87       2.52      375.84
1756.49 1509.52       1.64     1058.40
3287.16 1509.17       4.09       47.97
1119.88 1514.74       3.02      214.29
2577.11 1518.74       2.33      102.11
1297.86 1522.78       2.57     1720.88
1577.57 1524.49       1.92      217.56
1476.51 1539.19       2.11      134.15
1268.26 1546.11       2.61      361.24
1431.01 1554.51       2.19       68.94
1986.54 1564.19       1.30      147.40
1917.10 1570.47       1.30      280.95
1082.78 1573.17       3.05      465.55
2639.99 1585.50       2.38       63.31
1353.99 1596.33       2.31      292.62
2422.95 1608.05       1.80      574.80
2505.52 1614.73       1.99     1547.98
1322.27 1620.31       2.36      368.44
2315.49 1622.02       1.53      127.29
1766.24 1632.56       1.29     1020.48
1638.83 1643.41       1.53      890.42
1295.35 1645.98       2.40      518.16
1582.55 1646.07       1.65      280.08
1878.66 1650.07       1.09      106.41
2390.54 1664.90       1.61      199.82
2685.77 1666.24       2.39       60.01
1271.88 1671.57       2.43     2021.10
1277.84 1675.17       2.41       40.07
2153.49 1678.00       1.08      150.73
2555.74 1680.81       2.02      742.89
2263.00 1692.99       1.25      217.60
3101.48 1692.99       3.49      153.66
2817.71 1696.13       2.72      105.31
1252.30 1697.31       2.46      172.63
2005.75 1744.11    .73      140.07
2709.51 1754.82       2.36       43.58
2586.85 1757.68       2.01     1991.19
1356.35 1764.16       2.09     1137.22
2825.78 1782.49       2.67      141.58
1336.28 1788.54       2.13      739.42
1148.62 1793.74       2.67      327.05
1689.53 1805.04       1.09      291.57
1770.81 1812.19    .86     9538.69
1715.54 1816.46       1.00      135.16
1603.47 1817.92       1.32      378.98
1143.30 1820.12       2.67      115.19
2482.31 1820.90       1.64       68.59
2549.17 1828.49       1.84      301.72
1561.68 1833.21       1.43      703.44
1527.00 1850.99       1.52       62.85
3151.29 1866.90       3.54       84.78
2960.49 1895.03       3.01      114.77
1238.96 1917.98       2.35      249.66
2147.25 1934.52    .53     1098.62
2866.54 1954.17       2.73      660.42
2936.35 1971.54       2.93      552.05
2997.99 1989.16       3.11      137.54
2637.01 1995.99       2.05       82.66
2599.71 2000.09       1.94       85.11
2736.39 2014.43       2.35     1214.33
1197.47 2034.52       2.48      315.38
2494.83 2070.60       1.64      277.20
2960.01 2070.02       3.01       89.56
2413.67 2075.09       1.40     2812.00
2661.05 2088.45       2.15     1239.17
2192.97 2098.67    .77    10286.45
2625.12 2102.35       2.05      143.33
1364.69 2105.40       2.01     1958.79
2023.91 2136.12    .54      182.11
1191.55 2144.33       2.54      791.62
2028.89 2151.89    .59      317.99
1063.28 2162.88       2.92      123.04
2416.83 2167.40       1.50     1822.76
 947.52 2166.98       3.24      129.60
2321.52 2173.17       1.24      164.44
2660.39 2179.58       2.21     1264.23
2187.54 2184.01    .93    20143.77
